Names,Area,Population, Density,Capital
Eritrea,"	121320","	5869970","	50",Asmara
Ethiopia,"	1127127","	105350020","	88",Addis Ababa
Somalia,"	637657","	11259290","	18",Mogadishu
Djibouti,"	25030","	810179",21,Djibouti City
Sudan,"	1886068","	43120843","	23",Khartoum
South Sudan,"	619745","	12530717","	20.2",Juba
Kenya,"	580367","	41800000","	72.02",Nairobi
Uganda,"	241550","	41487965","	172",Kampala
Tanzania,"	945087","	57310019","	52",Dodoma
Rwanda,"	26338","	12187400","	462.7",Kigali
Burundi,"	27834","	11099298","	398.7",Gitega
Seychelles,"	455","	92430","	203.1",Victoria
