Names,Area,Population, Density,Capital
Benin,"	114763","	9352000","	81",Porto Novo
Burkina Faso,"	272967","	17482000","	64",Ouagadougou
Cape Verde,"	4033","	505000","	125",Praia
Ivory Coast,"	322463","	20595000","	64",Yamoussoukro
Gambia,"	11295","	1825000","	162",Banjul
Ghana,"	238533","	25546000","	107",Accra
Guinea,"	245857","	10481000","	43",Conakry
Guinea-Bissau,"	36125","	1580000","	44",Bissau
Liberia,"	111369","	4245000","	38",Monrovia
Mali,"	1241238","	16319000","	13",Bamako
Mauritania,"	1025520","	3623000","	4",Nouakchott
Niger,"	1267000","	16644000","	13",Niamey
Nigeria,"	923768","	166629000","	180",Abuja
Senegal,"	196722","	13108000","	67",Dakar
Sierra Leone,"	71740","	6126000","	85",Freetown
Togo,"	56785","	6283000","	111",Lome
